id,text,created_at,did_report_as_spam,owner.id,owner.is_verified,owner.profile_pic_url,owner.username,likes,comments
1.78528E+16,Lo amo!,1553132305,FALSE,532227470,FALSE,https://instagram.fscl11-1.fna.fbcdn.net/v/t51.2885-19/s150x150/120938085_1086148761804047_5382040777206522174_n.jpg?_nc_ht=instagram.fscl11-1.fna.fbcdn.net&_nc_ohc=UUWQvvJwE4AAX8l6qa3&tp=1&oh=ae10b687343eef491b3f1665ca5d2f7f&oe=5FE634EA,catadaccarett,2,0
1.7864E+16,"Yo quiero uno, te hablo por wsp ???",1553167773,FALSE,269570069,FALSE,https://instagram.fscl11-1.fna.fbcdn.net/v/t51.2885-19/s150x150/126091216_139519050846078_6233815648581314016_n.jpg?_nc_ht=instagram.fscl11-1.fna.fbcdn.net&_nc_ohc=xVtqmzl6gRcAX_nyT0S&tp=1&oh=06a89553d8a053873cbaf243a6f9a0ec&oe=5FE41727,sandyjuela,0,0
1.80426E+16,Hola quedan aun este modelo??,1560530386,FALSE,3559180624,FALSE,https://instagram.fscl11-1.fna.fbcdn.net/v/t51.2885-19/s150x150/64286511_2073259679634998_1870338870202073088_n.jpg?_nc_ht=instagram.fscl11-1.fna.fbcdn.net&_nc_ohc=8gUjIVTVpmUAX-Kan3n&tp=1&oh=b255bce3874c089fbe1521b0656c1057&oe=5FE3F9D4,patriciapalmagomez,0,0
1.78809E+16,Chicas donde esta ubicado el local???,1529447847,FALSE,2053782061,FALSE,https://instagram.fscl11-1.fna.fbcdn.net/v/t51.2885-19/s150x150/114757555_752479795509212_4903120916150505483_n.jpg?_nc_ht=instagram.fscl11-1.fna.fbcdn.net&_nc_ohc=zuxUXfOj0_oAX9Ul7oL&tp=1&oh=43266faa7aff36fedb51d0eeddb32a22&oe=5FE74580,wale_dossow,1,1
1.78544E+16,De qué talla tienen los body?,1529448059,FALSE,370037692,FALSE,https://instagram.fscl11-1.fna.fbcdn.net/v/t51.2885-19/s150x150/18580308_428287334216800_4142860853118500864_a.jpg?_nc_ht=instagram.fscl11-1.fna.fbcdn.net&_nc_ohc=RPoTeABioiwAX9y8Tou&tp=1&oh=243dd7cc6f708b5475ce22b20880352a&oe=5FE63D89,loreto_al,0,1
1.79389E+16,Holaa... envia a regiones??,1529449162,FALSE,433614699,FALSE,https://instagram.fscl11-1.fna.fbcdn.net/v/t51.2885-19/s150x150/101413009_680525362728226_7645353584325820416_n.jpg?_nc_ht=instagram.fscl11-1.fna.fbcdn.net&_nc_ohc=rrZj3aIKfFoAX-IHuon&tp=1&oh=fef3384ed97b433092327d8fd65b319e&oe=5FE7C3A9,nikolitaz,1,1
1.79541E+16,Valores ?,1529452485,FALSE,1527761927,FALSE,https://instagram.fscl11-1.fna.fbcdn.net/v/t51.2885-19/s150x150/118545848_340347360492441_6332819060225926313_n.jpg?_nc_ht=instagram.fscl11-1.fna.fbcdn.net&_nc_ohc=cjGRlDsnk8EAX-Poc1Z&tp=1&oh=2a40efe5c0e78d68dc8e0854e14976f1&oe=5FE5E440,bianca.massiel,1,2
1.79394E+16,Precio por favor,1529453135,FALSE,1747802287,FALSE,https://instagram.fscl11-1.fna.fbcdn.net/v/t51.2885-19/s150x150/52065964_2354734858087730_1477082902847029248_n.jpg?_nc_ht=instagram.fscl11-1.fna.fbcdn.net&_nc_ohc=YHgS6IhlS5QAX9DcVkX&tp=1&oh=66fe04eab2dbedf18d159300f3eb86d1&oe=5FE63983,gomaryuri,1,1
1.78546E+16,Valor !!,1529453186,FALSE,284558271,FALSE,https://instagram.fscl11-1.fna.fbcdn.net/v/t51.2885-19/s150x150/39894928_505701363175872_3785667643088830464_n.jpg?_nc_ht=instagram.fscl11-1.fna.fbcdn.net&_nc_ohc=etc6hq83zEsAX-xMcHz&tp=1&oh=140c507b2d8af9b9e3c8dad4d596f945&oe=5FE4C27D,marijoval_,1,1
1.78947E+16,Precio por favor,1529455158,FALSE,2211590909,FALSE,https://instagram.fscl11-1.fna.fbcdn.net/v/t51.2885-19/s150x150/123247360_3885603824802156_8802402434597645071_n.jpg?_nc_ht=instagram.fscl11-1.fna.fbcdn.net&_nc_ohc=4qwz5EYdYiEAX-xMpcm&tp=1&oh=aeca7d73522ad5f2856207492ace92a2&oe=5FE63F31,oriana_0412,1,1
1.78643E+16,Podrian subir más fotos de cada uno 😍💖 se ven beeelloos !,1529458942,FALSE,340337758,FALSE,https://instagram.fscl11-1.fna.fbcdn.net/v/t51.2885-19/s150x150/120623344_368251034212117_7450986036357326000_n.jpg?_nc_ht=instagram.fscl11-1.fna.fbcdn.net&_nc_ohc=OTUE1j6L1ucAX_UB5qJ&tp=1&oh=c21d472ba5d369d0d17b5be28c209bd5&oe=5FE433BF,camimchigo,1,1
1.79541E+16,@fronbarcelo viste esto?,1529466246,FALSE,1722833442,FALSE,https://instagram.fscl11-1.fna.fbcdn.net/v/t51.2885-19/s150x150/29094446_1072960876179950_7208396913144496128_n.jpg?_nc_ht=instagram.fscl11-1.fna.fbcdn.net&_nc_ohc=9iBnL7SCvjoAX-IrpF6&tp=1&oh=5f5f380f2990b7e157c34d1d29f63e8a&oe=5FE4C07E,catalinagrassau,2,1
1.79457E+16,Hola tienen alguno con escote en la espalda y manga larga?,1529545725,FALSE,245819606,FALSE,https://instagram.fscl11-1.fna.fbcdn.net/v/t51.2885-19/s150x150/122714177_709008423071367_5983672717122219803_n.jpg?_nc_ht=instagram.fscl11-1.fna.fbcdn.net&_nc_ohc=QpxZ3hyGGTUAX-2M67T&tp=1&oh=defda839ece20fea1a004499ea7af6c2&oe=5FE5B63E,tita.moreno.m,0,0
